thickness	StressThickness	R	T	P	Melting_T
65.95104	-81.83235694	0.48	295	0.27	2938
73.78896	-91.59423854	0.48	295	0.27	2938
81.56208	-101.016403	0.48	295	0.27	2938
89.4312	-109.9572968	0.48	295	0.27	2938
97.26816	-118.468608	0.48	295	0.27	2938
105.08928	-126.5579528	0.48	295	0.27	2938
112.92672	-134.6841398	0.48	295	0.27	2938
120.71616	-142.6014729	0.48	295	0.27	2938
128.53728	-150.0879227	0.48	295	0.27	2938
136.32624	-157.560502	0.48	295	0.27	2938
144.11568	-165.4160502	0.48	295	0.27	2938
151.9848	-173.7722216	0.48	295	0.27	2938
159.80544	-181.638121	0.48	295	0.27	2938
167.56272	-189.1561179	0.48	295	0.27	2938
175.35216	-196.6499346	0.48	295	0.27	2938
183.17376	-204.6467615	0.48	295	0.27	2938
190.9152	-212.6346646	0.48	295	0.27	2938
198.768	-220.8206328	0.48	295	0.27	2938
206.6208	-229.2193397	0.48	295	0.27	2938
214.45824	-237.6793455	0.48	295	0.27	2938
222.34368	-246.2087096	0.48	295	0.27	2938
230.148	-255.5764467	0.48	295	0.27	2938
237.95424	-263.964871	0.48	295	0.27	2938
245.75952	-272.3524847	0.48	295	0.27	2938
253.54848	-281.7936774	0.48	295	0.27	2938
261.38496	-291.3718641	0.48	295	0.27	2938
269.15904	-300.6311199	0.48	295	0.27	2938
277.07616	-310.0691273	0.48	295	0.27	2938
284.89728	-319.5777036	0.48	295	0.27	2938
292.70256	-328.8746847	0.48	295	0.27	2938
300.53952	-338.5957165	0.48	295	0.27	2938
308.37648	-347.8025554	0.48	295	0.27	2938
316.23024	-357.0766089	0.48	295	0.27	2938
324.05136	-365.8790424	0.48	295	0.27	2938
331.93632	-374.8890987	0.48	295	0.27	2938
339.7896	-384.1801721	0.48	295	0.27	2938
347.65872	-393.7577108	0.48	295	0.27	2938
355.54416	-403.4734262	0.48	295	0.27	2938
363.39744	-413.6478678	0.48	295	0.27	2938
372.28992	-424.4226012	0.48	295	0.27	2938
380.0952	-434.420299	0.48	295	0.27	2938
387.99648	-444.317132	0.48	295	0.27	2938
395.7696	-454.3153581	0.48	295	0.27	2938
