thickness	StressThickness	R	T	P	Melting_T
63.58224	63.96338952	0.48	295	0.27	2559
73.86	73.40190749	0.48	295	0.27	2559
85.07184	82.63169495	0.48	295	0.27	2559
95.34768	90.60362652	0.48	295	0.27	2559
105.62208	98.89513623	0.48	295	0.27	2559
115.89072	106.8315867	0.48	295	0.27	2559
126.16512	114.3317382	0.48	295	0.27	2559
136.43664	121.8357015	0.48	295	0.27	2559
146.70432	129.5940652	0.48	295	0.27	2559
156.97296	136.7087112	0.48	295	0.27	2559
167.24208	143.6379338	0.48	295	0.27	2559
177.5136	151.1926563	0.48	295	0.27	2559
187.7712	157.9496249	0.48	295	0.27	2559
198.03552	164.4471449	0.48	295	0.27	2559
208.29744	171.4712237	0.48	295	0.27	2559
218.55792	178.1774327	0.48	295	0.27	2559
228.82176	184.3230817	0.48	295	0.27	2559
239.08176	190.7013145	0.48	295	0.27	2559
249.34464	196.0310258	0.48	295	0.27	2559
259.61376	202.50891	0.48	295	0.27	2559
269.87808	208.8707748	0.48	295	0.27	2559
280.13616	214.3799867	0.48	295	0.27	2559
290.39712	219.7566999	0.48	295	0.27	2559
300.65472	225.5104479	0.48	295	0.27	2559
310.90992	231.506003	0.48	295	0.27	2559
321.16944	236.8333199	0.48	295	0.27	2559
331.41936	243.4498083	0.48	295	0.27	2559
341.66976	247.9360047	0.48	295	0.27	2559
351.92016	253.9393181	0.48	295	0.27	2559
362.17056	259.2850399	0.48	295	0.27	2559
372.4224	265.1274449	0.48	295	0.27	2559
382.67376	270.6825649	0.48	295	0.27	2559
392.928	276.2783497	0.48	295	0.27	2559
