thickness	StressThickness	R	T	P	Melting_T
65.95712	70.71580743	0.08	295	0.27	2559
77.46768	79.79258839	0.08	295	0.27	2559
89.14224	88.56248333	0.08	295	0.27	2559
100.72472	96.6804301	0.08	295	0.27	2559
112.23256	103.9022911	0.08	295	0.27	2559
123.6632	110.6397929	0.08	295	0.27	2559
135.1524	116.948714	0.08	295	0.27	2559
146.62824	122.8988772	0.08	295	0.27	2559
158.12816	128.2168175	0.08	295	0.27	2559
169.58544	133.0718611	0.08	295	0.27	2559
181.064	137.5454269	0.08	295	0.27	2559
192.53456	141.7930991	0.08	295	0.27	2559
204.04248	145.7022094	0.08	295	0.27	2559
215.55568	149.4109633	0.08	295	0.27	2559
227.05816	152.9382926	0.08	295	0.27	2559
238.57392	156.2324184	0.08	295	0.27	2559
250.16992	159.3688531	0.08	295	0.27	2559
261.84296	162.5275057	0.08	295	0.27	2559
273.70816	165.2296854	0.08	295	0.27	2559
285.83976	168.1709795	0.08	295	0.27	2559
297.6836	170.673242	0.08	295	0.27	2559
309.194	173.6490918	0.08	295	0.27	2559
320.72072	176.8860556	0.08	295	0.27	2559
332.2632	179.7423921	0.08	295	0.27	2559
343.8536	182.8559192	0.08	295	0.27	2559
355.49224	186.1193817	0.08	295	0.27	2559
366.99744	189.5019161	0.08	295	0.27	2559
378.48656	192.9144194	0.08	295	0.27	2559
389.9812	196.2257102	0.08	295	0.27	2559
401.4784	199.8254492	0.08	295	0.27	2559
