thickness	StressThickness	R	T	P	Melting_T
76.41672	-94.20597838	0.12	295	0.27	2939
82.7328	-102.7953248	0.12	295	0.27	2939
89.04768	-110.5000254	0.12	295	0.27	2939
95.36712	-118.1147753	0.12	295	0.27	2939
101.69064	-125.6745901	0.12	295	0.27	2939
108.00624	-133.431807	0.12	295	0.27	2939
114.31884	-140.9120369	0.12	295	0.27	2939
120.63096	-148.2943984	0.12	295	0.27	2939
126.94152	-155.0910027	0.12	295	0.27	2939
133.26648	-163.0988571	0.12	295	0.27	2939
140.2872	-170.942397	0.12	295	0.27	2939
146.60496	-178.7638384	0.12	295	0.27	2939
152.91492	-185.8349829	0.12	295	0.27	2939
159.22104	-193.0842175	0.12	295	0.27	2939
165.5268	-201.0280753	0.12	295	0.27	2939
171.84024	-207.9274641	0.12	295	0.27	2939
178.14876	-215.1671896	0.12	295	0.27	2939
184.452	-222.984475	0.12	295	0.27	2939
190.7544	-230.1689259	0.12	295	0.27	2939
197.0568	-237.5389689	0.12	295	0.27	2939
203.36928	-245.0678247	0.12	295	0.27	2939
209.68044	-252.2376336	0.12	295	0.27	2939
215.98044	-259.7881753	0.12	295	0.27	2939
222.7578	-267.2824193	0.12	295	0.27	2939
229.54092	-275.8184455	0.12	295	0.27	2939
237.01416	-284.3491179	0.12	295	0.27	2939
243.3186	-291.6738716	0.12	295	0.27	2939
249.63024	-299.3717479	0.12	295	0.27	2939
255.93192	-306.4672712	0.12	295	0.27	2939
262.2342	-314.0291885	0.12	295	0.27	2939
268.5396	-321.0596832	0.12	295	0.27	2939
274.84344	-328.2887976	0.12	295	0.27	2939
281.14188	-335.110989	0.12	295	0.27	2939
287.44692	-342.7336398	0.12	295	0.27	2939
293.75772	-350.1151658	0.12	295	0.27	2939
300.0708	-357.2353484	0.12	295	0.27	2939
306.37056	-364.3235652	0.12	295	0.27	2939
312.66756	-371.3464994	0.12	295	0.27	2939
318.97536	-378.9552156	0.12	295	0.27	2939
325.27272	-385.490059	0.12	295	0.27	2939
331.56972	-392.7989608	0.12	295	0.27	2939
337.86624	-400.0768688	0.12	295	0.27	2939
344.17764	-406.9323725	0.12	295	0.27	2939
350.49984	-414.4792564	0.12	295	0.27	2939
356.80056	-421.6089483	0.12	295	0.27	2939
363.09852	-428.3975327	0.12	295	0.27	2939
369.405	-435.1180623	0.12	295	0.27	2939
375.70224	-442.2507842	0.12	295	0.27	2939
381.99732	-449.5754952	0.12	295	0.27	2939
388.29324	-455.9720193	0.12	295	0.27	2939
394.59084	-463.2440945	0.12	295	0.27	2939
400.89144	-469.4667264	0.12	295	0.27	2939
