thickness	StressThickness	R	T	P	Melting_T
57.28296	-89.54245107	0.28	295	0.27	2939
62.18464	-97.98174744	0.28	295	0.27	2939
67.0852	-105.9698247	0.28	295	0.27	2939
71.98828	-114.5734501	0.28	295	0.27	2939
77.43736	-123.6538316	0.28	295	0.27	2939
82.33904	-131.5702987	0.28	295	0.27	2939
87.24268	-139.3129175	0.28	295	0.27	2939
92.14576	-147.6745371	0.28	295	0.27	2939
98.13804	-156.5128401	0.28	295	0.27	2939
103.04084	-163.954658	0.28	295	0.27	2939
107.94168	-171.9190204	0.28	295	0.27	2939
112.8442	-179.5417158	0.28	295	0.27	2939
117.74644	-187.7250746	0.28	295	0.27	2939
122.6498	-195.8789579	0.28	295	0.27	2939
127.55428	-203.1111589	0.28	295	0.27	2939
133.00336	-211.4324645	0.28	295	0.27	2939
137.90476	-219.2090556	0.28	295	0.27	2939
142.80504	-225.754412	0.28	295	0.27	2939
147.70588	-233.2863212	0.28	295	0.27	2939
152.60504	-241.0134197	0.28	295	0.27	2939
157.50532	-248.5226407	0.28	295	0.27	2939
162.95216	-255.655293	0.28	295	0.27	2939
167.85132	-263.4157253	0.28	295	0.27	2939
172.74908	-270.8529082	0.28	295	0.27	2939
177.65132	-278.4832961	0.28	295	0.27	2939
182.5488	-285.7444698	0.28	295	0.27	2939
187.44656	-293.6289024	0.28	295	0.27	2939
192.34516	-301.3524562	0.28	295	0.27	2939
197.24236	-308.4467693	0.28	295	0.27	2939
202.1376	-316.1493419	0.28	295	0.27	2939
207.032	-323.0967421	0.28	295	0.27	2939
211.92584	-330.246436	0.28	295	0.27	2939
216.81968	-337.486171	0.28	295	0.27	2939
221.71576	-344.2542643	0.28	295	0.27	2939
226.6082	-351.8792227	0.28	295	0.27	2939
231.50176	-358.8319955	0.28	295	0.27	2939
236.3942	-365.4460656	0.28	295	0.27	2939
241.28412	-373.1315034	0.28	295	0.27	2939
246.17684	-380.6073519	0.28	295	0.27	2939
283.90348	-421.7571693	0.28	295	0.27	2939
288.79368	-445.1432393	0.28	295	0.27	2939
293.68752	-452.2430767	0.28	295	0.27	2939
298.58164	-459.6054785	0.28	295	0.27	2939
303.47436	-465.7682527	0.28	295	0.27	2939
308.36652	-472.6008308	0.28	295	0.27	2939
313.25784	-479.4784661	0.28	295	0.27	2939
318.15028	-486.4907016	0.28	295	0.27	2939
323.04468	-493.291004	0.28	295	0.27	2939
327.9374	-499.8352646	0.28	295	0.27	2939
332.83124	-506.6266256	0.28	295	0.27	2939
337.72368	-513.1426949	0.28	295	0.27	2939
343.7028	-522.0349879	0.28	295	0.27	2939
361.10424	-541.9427925	0.28	295	0.27	2939
369.26456	-556.0281162	0.28	295	0.27	2939
