thickness	StressThickness	R	T	P	Melting_T
63.61131	-14.08214713	0.21	295	0.27	2682
72.62598	-15.63485261	0.21	295	0.27	2682
80.81451	-16.89285421	0.21	295	0.27	2682
86.94672	-18.31707633	0.21	295	0.27	2682
93.89289	-18.9435292	0.21	295	0.27	2682
100.42641	-20.30787318	0.21	295	0.27	2682
108.18318	-22.07251556	0.21	295	0.27	2682
115.12494	-23.14633337	0.21	295	0.27	2682
124.10454	-25.46817893	0.21	295	0.27	2682
131.45013	-26.76801405	0.21	295	0.27	2682
139.19934	-28.41047816	0.21	295	0.27	2682
145.31601	-29.88294524	0.21	295	0.27	2682
151.43457	-31.25081589	0.21	295	0.27	2682
157.55544	-33.15724318	0.21	295	0.27	2682
163.67295	-34.96825338	0.21	295	0.27	2682
170.19933	-36.37187254	0.21	295	0.27	2682
176.72109	-38.15010133	0.21	295	0.27	2682
183.24327	-40.00256502	0.21	295	0.27	2682
189.35658	-41.11980961	0.21	295	0.27	2682
195.46968	-43.09562655	0.21	295	0.27	2682
201.58257	-45.14017251	0.21	295	0.27	2682
207.6963	-46.85656313	0.21	295	0.27	2682
213.81108	-48.76332749	0.21	295	0.27	2682
219.92544	-50.51669809	0.21	295	0.27	2682
226.03833	-52.21569432	0.21	295	0.27	2682
232.15479	-53.96637534	0.21	295	0.27	2682
238.26642	-55.86038387	0.21	295	0.27	2682
244.38183	-58.10004403	0.21	295	0.27	2682
250.49661	-59.9146345	0.21	295	0.27	2682
256.60782	-61.73537028	0.21	295	0.27	2682
262.71945	-63.80270445	0.21	295	0.27	2682
268.83108	-65.52379472	0.21	295	0.27	2682
275.34948	-67.74838468	0.21	295	0.27	2682
281.45901	-69.92694551	0.21	295	0.27	2682
287.56917	-72.05780424	0.21	295	0.27	2682
293.68101	-74.07159004	0.21	295	0.27	2682
299.78928	-76.02981786	0.21	295	0.27	2682
305.89902	-78.3005629	0.21	295	0.27	2682
312.00918	-80.20025372	0.21	295	0.27	2682
318.11871	-82.26630217	0.21	295	0.27	2682
324.22803	-84.3375662	0.21	295	0.27	2682
330.33819	-85.80811537	0.21	295	0.27	2682
336.44478	-88.19430111	0.21	295	0.27	2682
342.55515	-90.4275067	0.21	295	0.27	2682
348.663	-92.61288678	0.21	295	0.27	2682
354.7698	-94.51282467	0.21	295	0.27	2682
360.87471	-96.60665831	0.21	295	0.27	2682
366.98886	-98.44487599	0.21	295	0.27	2682
373.09818	-101.0175425	0.21	295	0.27	2682
379.20372	-102.6870201	0.21	295	0.27	2682
385.71855	-105.7850901	0.21	295	0.27	2682
391.8243	-107.4257075	0.21	295	0.27	2682
