thickness	StressThickness	R	T	P	Melting_T
72.71496	9.499124668	0.36	295	0.27	2561
79.0056	10.47252081	0.36	295	0.27	2561
85.2912	10.53192291	0.36	295	0.27	2561
91.57824	10.8855839	0.36	295	0.27	2561
97.8642	11.4855859	0.36	295	0.27	2561
104.14836	12.01379944	0.36	295	0.27	2561
110.43396	12.25894236	0.36	295	0.27	2561
116.71992	12.4835999	0.36	295	0.27	2561
123.00084	12.62821655	0.36	295	0.27	2561
129.28284	13.17809329	0.36	295	0.27	2561
135.56772	13.74369512	0.36	295	0.27	2561
141.85404	13.59333691	0.36	295	0.27	2561
148.14036	13.68497837	0.36	295	0.27	2561
154.4256	14.24890829	0.36	295	0.27	2561
160.71552	14.28137439	0.36	295	0.27	2561
167.00328	14.48491019	0.36	295	0.27	2561
173.29212	14.47916792	0.36	295	0.27	2561
179.57772	14.16855305	0.36	295	0.27	2561
185.85864	14.03798496	0.36	295	0.27	2561
192.1356	14.20472315	0.36	295	0.27	2561
198.41904	14.63915707	0.36	295	0.27	2561
204.70284	14.33957232	0.36	295	0.27	2561
210.98376	13.85099136	0.36	295	0.27	2561
217.2636	13.80898665	0.36	295	0.27	2561
223.54164	13.64727262	0.36	295	0.27	2561
229.82436	13.34822057	0.36	295	0.27	2561
236.1042	13.08379011	0.36	295	0.27	2561
242.38224	13.15722231	0.36	295	0.27	2561
248.65992	12.29464958	0.36	295	0.27	2561
254.93724	12.23202565	0.36	295	0.27	2561
261.21852	11.58304436	0.36	295	0.27	2561
267.49296	11.03147926	0.36	295	0.27	2561
273.76992	11.2412211	0.36	295	0.27	2561
280.044	10.96606823	0.36	295	0.27	2561
286.31988	10.21664218	0.36	295	0.27	2561
292.59504	9.982994846	0.36	295	0.27	2561
298.87308	9.671791245	0.36	295	0.27	2561
305.16336	9.864032232	0.36	295	0.27	2561
311.44968	9.106099616	0.36	295	0.27	2561
317.73492	8.805032259	0.36	295	0.27	2561
324.027	8.48771264	0.36	295	0.27	2561
330.3126	8.434183065	0.36	295	0.27	2561
336.5946	7.243744055	0.36	295	0.27	2561
342.87696	7.423144264	0.36	295	0.27	2561
349.15536	6.806809437	0.36	295	0.27	2561
355.4406	6.734715904	0.36	295	0.27	2561
361.73052	6.297903705	0.36	295	0.27	2561
368.01936	5.698899088	0.36	295	0.27	2561
374.30784	5.651202627	0.36	295	0.27	2561
380.59776	5.415777451	0.36	295	0.27	2561
386.8884	4.738983338	0.36	295	0.27	2561
393.17832	4.248353375	0.36	295	0.27	2561
