thickness	StressThickness	R	T	P	Melting_T
68.03568	-88.80973661	0.36	295	0.27	2938
76.32504	-99.05889832	0.36	295	0.27	2938
85.72968	-109.5496243	0.36	295	0.27	2938
94.53456	-119.0265795	0.36	295	0.27	2938
103.63932	-128.4971108	0.36	295	0.27	2938
117.4446	-142.1618092	0.36	295	0.27	2938
125.685	-151.2010363	0.36	295	0.27	2938
134.01036	-159.2287648	0.36	295	0.27	2938
142.32348	-166.9448848	0.36	295	0.27	2938
150.68448	-175.1114634	0.36	295	0.27	2938
160.18488	-184.7785851	0.36	295	0.27	2938
170.2638	-195.6441338	0.36	295	0.27	2938
178.5168	-204.5490964	0.36	295	0.27	2938
186.72228	-213.5023523	0.36	295	0.27	2938
194.97492	-222.826996	0.36	295	0.27	2938
203.24016	-231.9405955	0.36	295	0.27	2938
211.48092	-241.2280301	0.36	295	0.27	2938
220.72536	-251.5944761	0.36	295	0.27	2938
229.92264	-262.3121256	0.36	295	0.27	2938
239.94288	-274.3799896	0.36	295	0.27	2938
248.20812	-284.5657424	0.36	295	0.27	2938
257.30316	-295.6309457	0.36	295	0.27	2938
265.52088	-306.7484374	0.36	295	0.27	2938
273.76164	-317.9330333	0.36	295	0.27	2938
282.02688	-328.5153566	0.36	295	0.27	2938
291.12948	-340.5156918	0.36	295	0.27	2938
299.41812	-352.2426643	0.36	295	0.27	2938
308.48256	-363.9168734	0.36	295	0.27	2938
316.73556	-374.9909922	0.36	295	0.27	2938
325.00044	-386.1750312	0.36	295	0.27	2938
333.3258	-397.0248094	0.36	295	0.27	2938
341.5788	-407.9645996	0.36	295	0.27	2938
349.83144	-419.3525247	0.36	295	0.27	2938
358.07292	-430.902223	0.36	295	0.27	2938
366.39756	-442.9173031	0.36	295	0.27	2938
374.71104	-455.3192885	0.36	295	0.27	2938
383.84316	-468.7601915	0.36	295	0.27	2938
392.1444	-481.1288686	0.36	295	0.27	2938
400.44528	-493.7946186	0.36	295	0.27	2938
