thickness	StressThickness	R	T	P	Melting_T
69.762	13.66975536	0.12	295	0.27	2561
76.04016	16.47462513	0.12	295	0.27	2561
82.31736	19.26143643	0.12	295	0.27	2561
88.5942	21.87169321	0.12	295	0.27	2561
96.03156	24.81825508	0.12	295	0.27	2561
102.7686	27.8817337	0.12	295	0.27	2561
109.0428	30.51303515	0.12	295	0.27	2561
115.31364	33.24320254	0.12	295	0.27	2561
121.5834	35.81455441	0.12	295	0.27	2561
130.17768	39.34179554	0.12	295	0.27	2561
139.6908	42.95865525	0.12	295	0.27	2561
147.34908	45.91143282	0.12	295	0.27	2561
155.70264	49.42485257	0.12	295	0.27	2561
161.96748	51.71534049	0.12	295	0.27	2561
168.2322	54.09408765	0.12	295	0.27	2561
175.42284	57.01192275	0.12	295	0.27	2561
181.68648	59.81583142	0.12	295	0.27	2561
187.94868	61.90286392	0.12	295	0.27	2561
194.20908	64.41894224	0.12	295	0.27	2561
201.16308	67.36335173	0.12	295	0.27	2561
207.42144	70.8555699	0.12	295	0.27	2561
215.5302	76.81950904	0.12	295	0.27	2561
222.48396	79.5826868	0.12	295	0.27	2561
228.97392	81.73297661	0.12	295	0.27	2561
235.23084	84.45955662	0.12	295	0.27	2561
241.48968	86.77395098	0.12	295	0.27	2561
247.74984	89.16561878	0.12	295	0.27	2561
254.00868	91.31266623	0.12	295	0.27	2561
260.26488	93.79597788	0.12	295	0.27	2561
266.5206	96.43897099	0.12	295	0.27	2561
273.24024	99.23385097	0.12	295	0.27	2561
279.50076	101.9148926	0.12	295	0.27	2561
285.7596	104.1275736	0.12	295	0.27	2561
292.02072	106.7532127	0.12	295	0.27	2561
298.27908	109.1206353	0.12	295	0.27	2561
304.53792	111.3989098	0.12	295	0.27	2561
310.7952	113.6625688	0.12	295	0.27	2561
317.05224	116.3148621	0.12	295	0.27	2561
323.3112	118.8570419	0.12	295	0.27	2561
329.5698	121.3683089	0.12	295	0.27	2561
335.829	123.7338226	0.12	295	0.27	2561
342.08592	126.2591273	0.12	295	0.27	2561
348.34332	128.528197	0.12	295	0.27	2561
354.59952	131.1142415	0.12	295	0.27	2561
360.85536	133.7211528	0.12	295	0.27	2561
367.1088	136.1054104	0.12	295	0.27	2561
373.3644	138.7530549	0.12	295	0.27	2561
379.6218	140.6443557	0.12	295	0.27	2561
385.87872	143.2828248	0.12	295	0.27	2561
392.13528	145.9231878	0.12	295	0.27	2561
