thickness	StressThickness	R	T	P	Melting_T
64.629	72.79038956	0.36	295	0.27	2559
70.54236	78.96959449	0.36	295	0.27	2559
76.46868	84.69943357	0.36	295	0.27	2559
82.41876	90.03217395	0.36	295	0.27	2559
88.34364	95.59089796	0.36	295	0.27	2559
94.34232	101.0468159	0.36	295	0.27	2559
100.3878	106.4267255	0.36	295	0.27	2559
106.33788	111.6965567	0.36	295	0.27	2559
112.31172	116.8514879	0.36	295	0.27	2559
118.3212	121.9369585	0.36	295	0.27	2559
124.3548	126.6973157	0.36	295	0.27	2559
130.29336	131.4171531	0.36	295	0.27	2559
136.38672	136.5505306	0.36	295	0.27	2559
142.43292	141.4149734	0.36	295	0.27	2559
148.49028	145.94948	0.36	295	0.27	2559
154.57248	150.5577528	0.36	295	0.27	2559
160.60572	154.5356009	0.36	295	0.27	2559
166.72356	158.7600912	0.36	295	0.27	2559
172.83024	162.8393894	0.36	295	0.27	2559
178.97148	167.4440331	0.36	295	0.27	2559
185.10192	171.4318799	0.36	295	0.27	2559
191.20716	175.5274391	0.36	295	0.27	2559
197.36136	179.9027581	0.36	295	0.27	2559
203.46732	184.0402012	0.36	295	0.27	2559
209.60892	187.7747841	0.36	295	0.27	2559
215.76276	191.5629723	0.36	295	0.27	2559
221.92848	195.5472008	0.36	295	0.27	2559
228.15396	199.8027835	0.36	295	0.27	2559
234.3798	203.462906	0.36	295	0.27	2559
240.55812	207.5506196	0.36	295	0.27	2559
246.74796	211.2119803	0.36	295	0.27	2559
253.04544	215.2637303	0.36	295	0.27	2559
259.30656	218.6306853	0.36	295	0.27	2559
265.581	222.7694039	0.36	295	0.27	2559
271.92672	226.8341702	0.36	295	0.27	2559
278.2962	230.4778822	0.36	295	0.27	2559
284.75028	234.2030252	0.36	295	0.27	2559
291.28788	238.3482074	0.36	295	0.27	2559
297.86112	242.2053776	0.36	295	0.27	2559
304.12332	245.8463718	0.36	295	0.27	2559
310.14504	249.3136936	0.36	295	0.27	2559
316.14264	253.1182274	0.36	295	0.27	2559
322.27272	256.3487958	0.36	295	0.27	2559
328.31856	259.7794914	0.36	295	0.27	2559
334.4724	263.1633602	0.36	295	0.27	2559
340.578	266.8307966	0.36	295	0.27	2559
346.73112	270.6404759	0.36	295	0.27	2559
352.87308	273.9721526	0.36	295	0.27	2559
359.17128	277.3955923	0.36	295	0.27	2559
365.52924	280.8191945	0.36	295	0.27	2559
371.93436	284.4946196	0.36	295	0.27	2559
378.38844	288.2562298	0.36	295	0.27	2559
384.91452	291.7290934	0.36	295	0.27	2559
391.58316	295.251269	0.36	295	0.27	2559
398.33712	299.0275623	0.36	295	0.27	2559
