thickness	StressThickness	R	T	P	Melting_T
81.02764	-134.495507	0.04	295	0.27	2939
89.39152	-145.4425169	0.04	295	0.27	2939
96.11312	-154.403661	0.04	295	0.27	2939
102.59048	-162.9299668	0.04	295	0.27	2939
108.91392	-171.0841035	0.04	295	0.27	2939
115.30152	-179.354686	0.04	295	0.27	2939
121.91552	-187.3021011	0.04	295	0.27	2939
128.5506	-194.5256034	0.04	295	0.27	2939
134.86536	-202.7778359	0.04	295	0.27	2939
141.17596	-209.8016981	0.04	295	0.27	2939
147.48472	-217.4402114	0.04	295	0.27	2939
153.78652	-224.869838	0.04	295	0.27	2939
160.23852	-232.2086264	0.04	295	0.27	2939
166.79084	-239.3130295	0.04	295	0.27	2939
173.3392	-246.9397571	0.04	295	0.27	2939
179.64412	-254.2410668	0.04	295	0.27	2939
185.94256	-261.9415512	0.04	295	0.27	2939
192.23664	-268.7744678	0.04	295	0.27	2939
198.62984	-275.4734199	0.04	295	0.27	2939
204.93744	-282.4742048	0.04	295	0.27	2939
211.23144	-288.5164106	0.04	295	0.27	2939
217.53188	-294.6348355	0.04	295	0.27	2939
223.8284	-300.6594085	0.04	295	0.27	2939
230.1292	-306.6001413	0.04	295	0.27	2939
236.44112	-312.4042914	0.04	295	0.27	2939
242.7488	-318.4429471	0.04	295	0.27	2939
249.04224	-324.0679536	0.04	295	0.27	2939
255.34164	-329.5786504	0.04	295	0.27	2939
261.63272	-335.3582296	0.04	295	0.27	2939
267.92552	-340.6420169	0.04	295	0.27	2939
274.2978	-345.9932267	0.04	295	0.27	2939
280.8364	-351.3268438	0.04	295	0.27	2939
287.13836	-357.0338556	0.04	295	0.27	2939
293.43148	-362.5394614	0.04	295	0.27	2939
299.71868	-367.855873	0.04	295	0.27	2939
306.01092	-373.0426871	0.04	295	0.27	2939
312.29756	-378.8165943	0.04	295	0.27	2939
318.73808	-383.7306921	0.04	295	0.27	2939
325.02568	-388.5887307	0.04	295	0.27	2939
331.54852	-393.8143098	0.04	295	0.27	2939
337.83892	-399.3827843	0.04	295	0.27	2939
344.12416	-404.4473945	0.04	295	0.27	2939
350.40952	-408.6987747	0.04	295	0.27	2939
356.69688	-413.0289386	0.04	295	0.27	2939
362.9886	-418.2968898	0.04	295	0.27	2939
369.2742	-423.265727	0.04	295	0.27	2939
375.55904	-428.5620538	0.04	295	0.27	2939
381.84412	-433.9250035	0.04	295	0.27	2939
388.13276	-438.7817834	0.04	295	0.27	2939
394.42256	-443.6149055	0.04	295	0.27	2939
