thickness	StressThickness	R	T	P	Melting_T
41.24456	-59.53991094	0.08	295	0.27	2939
44.54648	-64.33445736	0.08	295	0.27	2939
47.84696	-69.04746742	0.08	295	0.27	2939
51.15184	-74.41228344	0.08	295	0.27	2939
54.45456	-79.27489215	0.08	295	0.27	2939
57.75352	-83.93644004	0.08	295	0.27	2939
61.05072	-88.85803713	0.08	295	0.27	2939
64.35488	-93.98719036	0.08	295	0.27	2939
67.65248	-98.37050553	0.08	295	0.27	2939
70.95032	-102.8656015	0.08	295	0.27	2939
74.24528	-108.0170037	0.08	295	0.27	2939
77.538	-112.5390745	0.08	295	0.27	2939
80.83576	-117.2108083	0.08	295	0.27	2939
84.13096	-121.7203262	0.08	295	0.27	2939
87.42712	-126.4019327	0.08	295	0.27	2939
90.72408	-130.5847822	0.08	295	0.27	2939
94.01976	-134.6152422	0.08	295	0.27	2939
97.31608	-139.3968065	0.08	295	0.27	2939
100.612	-143.8530391	0.08	295	0.27	2939
103.9068	-148.3862832	0.08	295	0.27	2939
107.20176	-152.9774773	0.08	295	0.27	2939
110.49624	-157.0015387	0.08	295	0.27	2939
113.7912	-161.3431598	0.08	295	0.27	2939
117.08112	-165.6085212	0.08	295	0.27	2939
120.37616	-170.1265436	0.08	295	0.27	2939
123.66968	-174.7883993	0.08	295	0.27	2939
126.9636	-178.8133316	0.08	295	0.27	2939
130.41064	-183.0883101	0.08	295	0.27	2939
133.69848	-187.5617004	0.08	295	0.27	2939
136.98728	-192.0785008	0.08	295	0.27	2939
140.27608	-196.2994592	0.08	295	0.27	2939
143.56112	-200.3782776	0.08	295	0.27	2939
146.84872	-204.6802356	0.08	295	0.27	2939
150.1396	-209.3658534	0.08	295	0.27	2939
153.4252	-213.0657243	0.08	295	0.27	2939
156.71272	-217.3946686	0.08	295	0.27	2939
160.00224	-221.2738114	0.08	295	0.27	2939
163.28576	-225.9549536	0.08	295	0.27	2939
166.578	-229.7439198	0.08	295	0.27	2939
169.86408	-234.2036562	0.08	295	0.27	2939
173.61536	-238.5576386	0.08	295	0.27	2939
176.89872	-242.6163331	0.08	295	0.27	2939
180.18976	-246.8777386	0.08	295	0.27	2939
183.4712	-251.4192752	0.08	295	0.27	2939
186.75016	-254.7405982	0.08	295	0.27	2939
191.28376	-261.1999246	0.08	295	0.27	2939
196.45376	-267.6751864	0.08	295	0.27	2939
200.0516	-271.9622823	0.08	295	0.27	2939
204.42888	-277.7931595	0.08	295	0.27	2939
211.93976	-286.7785015	0.08	295	0.27	2939
