thickness	StressThickness	R	T	P	Melting_T
62.1384	-100.289106	0.6	295	0.27	2938
77.2524	-131.6339766	0.6	295	0.27	2938
92.3586	-163.4599942	0.6	295	0.27	2938
107.4678	-194.6613095	0.6	295	0.27	2938
123.7368	-228.8182914	0.6	295	0.27	2938
141.1674	-263.7092445	0.6	295	0.27	2938
158.6004	-296.6955166	0.6	295	0.27	2938
174.8592	-329.6880517	0.6	295	0.27	2938
189.9546	-359.4693334	0.6	295	0.27	2938
205.0548	-388.7911465	0.6	295	0.27	2938
220.1556	-418.0517602	0.6	295	0.27	2938
237.5778	-450.146398	0.6	295	0.27	2938
252.6726	-480.636739	0.6	295	0.27	2938
267.7656	-509.8083572	0.6	295	0.27	2938
282.8604	-537.5043702	0.6	295	0.27	2938
297.9558	-565.844438	0.6	295	0.27	2938
313.0434	-594.9474968	0.6	295	0.27	2938
328.1304	-623.4552451	0.6	295	0.27	2938
343.2204	-652.7840763	0.6	295	0.27	2938
372.2364	-695.7411037	0.6	295	0.27	2938
387.3222	-736.0811686	0.6	295	0.27	2938
