thickness	StressThickness	R	T	P	Melting_T
70.44858	-10.50417002	0.09	295	0.27	2682
76.88286	-11.04346377	0.09	295	0.27	2682
83.31624	-11.8121135	0.09	295	0.27	2682
89.74251	-12.32028793	0.09	295	0.27	2682
96.17301	-12.92315093	0.09	295	0.27	2682
102.60387	-13.4479975	0.09	295	0.27	2682
109.03464	-14.23989976	0.09	295	0.27	2682
115.4655	-14.8348085	0.09	295	0.27	2682
121.89105	-15.56628153	0.09	295	0.27	2682
128.30706	-16.00159542	0.09	295	0.27	2682
134.71929	-16.87769949	0.09	295	0.27	2682
141.13242	-17.73671102	0.09	295	0.27	2682
147.54357	-18.39176462	0.09	295	0.27	2682
153.95382	-19.48039845	0.09	295	0.27	2682
160.36425	-19.98175408	0.09	295	0.27	2682
166.77432	-20.97391241	0.09	295	0.27	2682
173.18367	-21.80714496	0.09	295	0.27	2682
179.59257	-22.74653642	0.09	295	0.27	2682
186.00354	-23.53565586	0.09	295	0.27	2682
192.4146	-24.54136246	0.09	295	0.27	2682
198.82404	-25.53805761	0.09	295	0.27	2682
205.2324	-26.55775174	0.09	295	0.27	2682
211.63986	-27.59889996	0.09	295	0.27	2682
218.04552	-28.54718495	0.09	295	0.27	2682
224.44794	-29.80970557	0.09	295	0.27	2682
230.85117	-30.79913034	0.09	295	0.27	2682
237.25332	-31.9625438	0.09	295	0.27	2682
243.65556	-33.24418708	0.09	295	0.27	2682
250.056	-34.35535641	0.09	295	0.27	2682
256.8024	-35.74282829	0.09	295	0.27	2682
264.24162	-37.09866647	0.09	295	0.27	2682
270.64242	-38.1183831	0.09	295	0.27	2682
277.21467	-39.58643914	0.09	295	0.27	2682
284.13702	-41.0045008	0.09	295	0.27	2682
290.54052	-41.99256371	0.09	295	0.27	2682
297.29007	-43.29481383	0.09	295	0.27	2682
304.38423	-44.65148083	0.09	295	0.27	2682
310.78368	-46.01037321	0.09	295	0.27	2682
317.18502	-47.5268992	0.09	295	0.27	2682
323.58375	-48.72580304	0.09	295	0.27	2682
329.98086	-49.93610345	0.09	295	0.27	2682
336.38202	-51.00406499	0.09	295	0.27	2682
342.78219	-52.75445299	0.09	295	0.27	2682
349.18155	-54.49762454	0.09	295	0.27	2682
355.581	-56.09533188	0.09	295	0.27	2682
361.98513	-57.09824248	0.09	295	0.27	2682
368.38755	-58.43206448	0.09	295	0.27	2682
374.79519	-59.98533525	0.09	295	0.27	2682
381.20004	-61.01405562	0.09	295	0.27	2682
387.60399	-62.24332055	0.09	295	0.27	2682
394.00704	-63.40109926	0.09	295	0.27	2682
