thickness	StressThickness	R	T	P	Melting_T
67.30308	90.25583842	0.12	295	0.27	2559
77.12724	100.7406427	0.12	295	0.27	2559
86.97612	111.0973952	0.12	295	0.27	2559
96.79656	122.0487702	0.12	295	0.27	2559
106.64904	131.6149234	0.12	295	0.27	2559
116.46924	140.3370865	0.12	295	0.27	2559
126.26592	148.583652	0.12	295	0.27	2559
136.09428	156.5142275	0.12	295	0.27	2559
145.94688	164.2726226	0.12	295	0.27	2559
155.8152	171.8622818	0.12	295	0.27	2559
165.67176	178.8545406	0.12	295	0.27	2559
175.54428	185.7352378	0.12	295	0.27	2559
185.3928	192.1956234	0.12	295	0.27	2559
195.26532	198.3893539	0.12	295	0.27	2559
205.15368	204.5164631	0.12	295	0.27	2559
215.0862	210.4115863	0.12	295	0.27	2559
225.06252	215.8844098	0.12	295	0.27	2559
235.03884	221.0933819	0.12	295	0.27	2559
245.05548	226.3849001	0.12	295	0.27	2559
255.10788	231.655557	0.12	295	0.27	2559
265.1922	236.9671419	0.12	295	0.27	2559
275.30064	242.1888989	0.12	295	0.27	2559
285.48096	247.1323365	0.12	295	0.27	2559
295.36944	251.8183048	0.12	295	0.27	2559
305.21796	256.7370144	0.12	295	0.27	2559
315.09432	261.1818504	0.12	295	0.27	2559
324.95868	265.9752476	0.12	295	0.27	2559
335.11944	270.6862996	0.12	295	0.27	2559
345.04788	274.9330143	0.12	295	0.27	2559
355.03224	280.0248937	0.12	295	0.27	2559
365.04876	284.6491338	0.12	295	0.27	2559
375.0612	289.4017577	0.12	295	0.27	2559
385.09752	293.9727727	0.12	295	0.27	2559
394.97004	298.6833698	0.12	295	0.27	2559
