thickness	StressThickness	R	T	P	Melting_T
60.4944	-22.83043524	0.36	295	0.27	2682
66.0924	-25.10914927	0.36	295	0.27	2682
70.99128	-27.11356263	0.36	295	0.27	2682
75.89088	-28.95417868	0.36	295	0.27	2682
80.78904	-30.65321741	0.36	295	0.27	2682
85.68576	-33.43440345	0.36	295	0.27	2682
90.58248	-34.8686616	0.36	295	0.27	2682
95.47992	-37.02916907	0.36	295	0.27	2682
100.37628	-38.60694561	0.36	295	0.27	2682
105.2712	-41.37025981	0.36	295	0.27	2682
110.1654	-42.83155189	0.36	295	0.27	2682
115.06068	-44.63733778	0.36	295	0.27	2682
119.95452	-46.65746302	0.36	295	0.27	2682
124.8462	-48.41429226	0.36	295	0.27	2682
129.7404	-50.538634	0.36	295	0.27	2682
134.63532	-52.41942497	0.36	295	0.27	2682
139.53024	-54.33098389	0.36	295	0.27	2682
144.4194	-56.43825428	0.36	295	0.27	2682
149.31216	-57.9626192	0.36	295	0.27	2682
155.6064	-60.04518507	0.36	295	0.27	2682
161.19828	-62.63330274	0.36	295	0.27	2682
167.48964	-63.92194969	0.36	295	0.27	2682
173.08296	-66.45112593	0.36	295	0.27	2682
177.975	-68.61404953	0.36	295	0.27	2682
182.86416	-70.22944583	0.36	295	0.27	2682
189.153	-72.69298613	0.36	295	0.27	2682
194.04468	-74.83893454	0.36	295	0.27	2682
199.63476	-77.09086168	0.36	295	0.27	2682
206.6256	-78.79542473	0.36	295	0.27	2682
211.51944	-81.04906839	0.36	295	0.27	2682
217.11132	-83.77575608	0.36	295	0.27	2682
222.003	-85.22931363	0.36	295	0.27	2682
228.99204	-87.39502182	0.36	295	0.27	2682
233.88408	-89.1666874	0.36	295	0.27	2682
238.77648	-91.26181984	0.36	295	0.27	2682
245.06604	-93.61279749	0.36	295	0.27	2682
251.3538	-96.14738065	0.36	295	0.27	2682
256.24152	-97.28162578	0.36	295	0.27	2682
261.1296	-99.6089078	0.36	295	0.27	2682
266.71644	-102.3294236	0.36	295	0.27	2682
271.60524	-104.1517563	0.36	295	0.27	2682
276.4944	-105.910628	0.36	295	0.27	2682
281.38536	-107.660827	0.36	295	0.27	2682
286.27776	-109.3882428	0.36	295	0.27	2682
291.1644	-111.1644473	0.36	295	0.27	2682
296.0514	-113.2412516	0.36	295	0.27	2682
300.93984	-115.8703824	0.36	295	0.27	2682
305.8308	-118.2608383	0.36	295	0.27	2682
310.72212	-119.5263487	0.36	295	0.27	2682
316.30572	-121.3505756	0.36	295	0.27	2682
321.19128	-123.7040569	0.36	295	0.27	2682
326.0808	-125.1750343	0.36	295	0.27	2682
330.9696	-127.4047571	0.36	295	0.27	2682
335.8566	-129.3663004	0.36	295	0.27	2682
340.74576	-131.6581733	0.36	295	0.27	2682
345.63096	-133.6164913	0.36	295	0.27	2682
350.51976	-135.7586563	0.36	295	0.27	2682
355.40496	-137.3938446	0.36	295	0.27	2682
360.2898	-139.1264975	0.36	295	0.27	2682
365.17644	-141.5431611	0.36	295	0.27	2682
370.06128	-143.521499	0.36	295	0.27	2682
374.94684	-145.7269206	0.36	295	0.27	2682
379.8342	-147.936763	0.36	295	0.27	2682
384.71868	-150.0947693	0.36	295	0.27	2682
389.60172	-151.5451872	0.36	295	0.27	2682
394.4844	-154.1394417	0.36	295	0.27	2682
