thickness,StressThickness,R,T,P,Melting_T
41.91664,44.26108578,0.08,295,0.27,2183
45.1556,49.23610519,0.08,295,0.27,2183
48.54936,54.27059044,0.08,295,0.27,2183
51.94392,58.9895681,0.08,295,0.27,2183
55.18288,63.31192274,0.08,295,0.27,2183
58.4212,68.01161706,0.08,295,0.27,2183
61.65896,71.896456,0.08,295,0.27,2183
64.89592,75.4043396,0.08,295,0.27,2183
68.13384,79.72544248,0.08,295,0.27,2183
72.29816,85.60656784,0.08,295,0.27,2183
80.00776,93.541176,0.08,295,0.27,2183
85.86264,99.98104375,0.08,295,0.27,2183
95.26096,108.0001062,0.08,295,0.27,2183
104.19072,116.270837,0.08,295,0.27,2183
115.12336,124.8960327,0.08,295,0.27,2183
128.66816,139.4556092,0.08,295,0.27,2183
148.76816,150.3857456,0.08,295,0.27,2183
152.00112,153.9387674,0.08,295,0.27,2183
155.23144,156.2729251,0.08,295,0.27,2183
158.4604,158.3465961,0.08,295,0.27,2183
161.69032,160.8173581,0.08,295,0.27,2183
164.91984,162.9585366,0.08,295,0.27,2183
168.14904,164.7310667,0.08,295,0.27,2183
171.37616,166.8577282,0.08,295,0.27,2183
174.60448,169.6828263,0.08,295,0.27,2183
177.8332,171.7003455,0.08,295,0.27,2183
181.06064,173.5780979,0.08,295,0.27,2183
184.28896,175.0162279,0.08,295,0.27,2183
187.5148,177.5047829,0.08,295,0.27,2183
190.74152,179.1043408,0.08,295,0.27,2183
193.96776,181.545894,0.08,295,0.27,2183
197.19344,183.8220594,0.08,295,0.27,2183
200.42216,186.1672071,0.08,295,0.27,2183
203.64976,188.3872666,0.08,295,0.27,2183
206.87648,190.0755009,0.08,295,0.27,2183
210.1024,192.3272957,0.08,295,0.27,2183
213.32744,194.5797706,0.08,295,0.27,2183
217.01656,198.2741893,0.08,295,0.27,2183
221.166,202.3502594,0.08,295,0.27,2183
226.64264,206.994956,0.08,295,0.27,2183
229.86728,208.7405667,0.08,295,0.27,2183
233.0916,211.0349185,0.08,295,0.27,2183
236.31568,214.2409395,0.08,295,0.27,2183
240.58856,216.6365812,0.08,295,0.27,2183
243.8116,217.7752384,0.08,295,0.27,2183
247.03496,219.8555952,0.08,295,0.27,2183
250.25736,221.8074207,0.08,295,0.27,2183
253.74312,223.9005029,0.08,295,0.27,2183
256.96664,227.7744873,0.08,295,0.27,2183
260.18912,232.1676828,0.08,295,0.27,2183
