thickness	StressThickness	R	T	P	Melting_T
72.50096	-102.4216539	0.16	295	0.27	2939
79.04464	-111.2872601	0.16	295	0.27	2939
86.21072	-121.2521737	0.16	295	0.27	2939
93.37728	-131.512091	0.16	295	0.27	2939
99.92032	-140.2066691	0.16	295	0.27	2939
106.4632	-149.4251141	0.16	295	0.27	2939
113.6304	-158.8452441	0.16	295	0.27	2939
120.48912	-168.2671549	0.16	295	0.27	2939
129.20752	-179.6454819	0.16	295	0.27	2939
136.36816	-188.3055462	0.16	295	0.27	2939
142.91232	-196.3666716	0.16	295	0.27	2939
149.46032	-204.695764	0.16	295	0.27	2939
155.99888	-212.7884593	0.16	295	0.27	2939
162.53568	-220.8973613	0.16	295	0.27	2939
169.08016	-229.0651524	0.16	295	0.27	2939
175.61984	-237.3542672	0.16	295	0.27	2939
182.15504	-245.0012056	0.16	295	0.27	2939
188.69136	-253.8656646	0.16	295	0.27	2939
195.22768	-261.1349461	0.16	295	0.27	2939
201.7712	-268.854945	0.16	295	0.27	2939
208.30944	-276.7973348	0.16	295	0.27	2939
214.84368	-285.1893941	0.16	295	0.27	2939
221.3792	-292.3709969	0.16	295	0.27	2939
227.9152	-301.4366261	0.16	295	0.27	2939
234.76976	-309.0784787	0.16	295	0.27	2939
241.3016	-316.8070311	0.16	295	0.27	2939
247.83392	-324.1822499	0.16	295	0.27	2939
254.3664	-332.5001764	0.16	295	0.27	2939
261.20912	-339.6007844	0.16	295	0.27	2939
267.74768	-348.1310319	0.16	295	0.27	2939
274.2792	-355.2749734	0.16	295	0.27	2939
280.81312	-363.3205849	0.16	295	0.27	2939
287.35424	-370.9370378	0.16	295	0.27	2939
293.884	-378.4956466	0.16	295	0.27	2939
300.41264	-386.4513985	0.16	295	0.27	2939
309.43232	-396.4000272	0.16	295	0.27	2939
315.96528	-404.0838601	0.16	295	0.27	2939
322.49248	-411.9987839	0.16	295	0.27	2939
329.01856	-418.9560496	0.16	295	0.27	2939
335.54448	-427.0583622	0.16	295	0.27	2939
342.39552	-433.8005967	0.16	295	0.27	2939
348.92256	-441.5292621	0.16	295	0.27	2939
355.75952	-449.7774453	0.16	295	0.27	2939
362.28608	-456.7872679	0.16	295	0.27	2939
368.8152	-464.1177796	0.16	295	0.27	2939
375.34288	-471.4298806	0.16	295	0.27	2939
381.87456	-478.4730971	0.16	295	0.27	2939
388.40176	-486.3433835	0.16	295	0.27	2939
395.8656	-494.2005687	0.16	295	0.27	2939
402.39264	-501.4615505	0.16	295	0.27	2939
