thickness	StressThickness	R	T	P	Melting_T
67.57455	-13.97602221	0.15	295	0.27	2682
73.96935	-15.70395581	0.15	295	0.27	2682
80.0715	-16.76541045	0.15	295	0.27	2682
86.1741	-18.4087723	0.15	295	0.27	2682
92.27445	-19.94143966	0.15	295	0.27	2682
98.3706	-21.09287029	0.15	295	0.27	2682
104.4663	-22.49153533	0.15	295	0.27	2682
110.559	-23.92833532	0.15	295	0.27	2682
116.65215	-25.28148648	0.15	295	0.27	2682
122.74515	-25.92426848	0.15	295	0.27	2682
128.8395	-27.480972	0.15	295	0.27	2682
134.92965	-29.03591533	0.15	295	0.27	2682
141.0192	-29.65071646	0.15	295	0.27	2682
147.11235	-30.6538646	0.15	295	0.27	2682
153.20325	-31.55102784	0.15	295	0.27	2682
159.5838	-33.3173086	0.15	295	0.27	2682
165.96285	-34.68821579	0.15	295	0.27	2682
172.6287	-36.03754565	0.15	295	0.27	2682
178.71825	-37.24144211	0.15	295	0.27	2682
184.80615	-38.56733254	0.15	295	0.27	2682
191.1813	-39.7694462	0.15	295	0.27	2682
197.2659	-41.07322549	0.15	295	0.27	2682
203.3508	-43.07590421	0.15	295	0.27	2682
209.43435	-44.20866291	0.15	295	0.27	2682
215.51835	-45.7256902	0.15	295	0.27	2682
221.60385	-47.16864862	0.15	295	0.27	2682
227.6874	-48.97132865	0.15	295	0.27	2682
233.77545	-50.53271888	0.15	295	0.27	2682
240.1566	-52.15254357	0.15	295	0.27	2682
246.82545	-54.03467726	0.15	295	0.27	2682
252.9132	-55.96348199	0.15	295	0.27	2682
258.9996	-57.42062103	0.15	295	0.27	2682
265.08765	-59.06904708	0.15	295	0.27	2682
271.1742	-60.85036393	0.15	295	0.27	2682
277.2573	-62.63794433	0.15	295	0.27	2682
283.3428	-63.91004788	0.15	295	0.27	2682
289.4289	-65.88889273	0.15	295	0.27	2682
295.5135	-67.69147739	0.15	295	0.27	2682
301.599	-69.59705039	0.15	295	0.27	2682
307.68285	-71.18117672	0.15	295	0.27	2682
313.76595	-73.37396748	0.15	295	0.27	2682
319.8456	-75.29999152	0.15	295	0.27	2682
325.92675	-76.88350362	0.15	295	0.27	2682
332.0094	-79.16817518	0.15	295	0.27	2682
338.6598	-81.39701287	0.15	295	0.27	2682
344.7417	-83.14867457	0.15	295	0.27	2682
350.8206	-85.33890867	0.15	295	0.27	2682
356.89905	-86.80372437	0.15	295	0.27	2682
362.97645	-88.61643755	0.15	295	0.27	2682
369.0549	-90.31766991	0.15	295	0.27	2682
375.13215	-92.33786504	0.15	295	0.27	2682
381.20895	-93.99476176	0.15	295	0.27	2682
387.2844	-95.97870287	0.15	295	0.27	2682
393.36345	-97.80996719	0.15	295	0.27	2682
