thickness	StressThickness	R	T	P	Melting_T
77.51352	-11.93796896	0.28	295	0.27	2896
83.47108	-12.93393543	0.28	295	0.27	2896
89.42808	-15.17877823	0.28	295	0.27	2896
95.38284	-16.66926125	0.28	295	0.27	2896
101.33956	-18.57315813	0.28	295	0.27	2896
107.29432	-19.77370766	0.28	295	0.27	2896
113.246	-21.61985439	0.28	295	0.27	2896
119.20188	-22.56844947	0.28	295	0.27	2896
125.1544	-24.09142533	0.28	295	0.27	2896
131.10832	-25.45091455	0.28	295	0.27	2896
137.0628	-27.09662788	0.28	295	0.27	2896
143.01728	-28.24103911	0.28	295	0.27	2896
148.97008	-29.52645264	0.28	295	0.27	2896
154.93044	-30.81840894	0.28	295	0.27	2896
160.88604	-32.20808588	0.28	295	0.27	2896
166.84164	-33.18376806	0.28	295	0.27	2896
172.79668	-34.36991146	0.28	295	0.27	2896
178.75312	-34.98216525	0.28	295	0.27	2896
184.71096	-36.0912576	0.28	295	0.27	2896
190.66936	-36.34343956	0.28	295	0.27	2896
196.63364	-37.30201633	0.28	295	0.27	2896
202.587	-38.52806026	0.28	295	0.27	2896
208.54008	-39.09860678	0.28	295	0.27	2896
214.49596	-39.70975888	0.28	295	0.27	2896
220.44988	-40.53456511	0.28	295	0.27	2896
226.4038	-41.11442137	0.28	295	0.27	2896
232.35632	-41.85101785	0.28	295	0.27	2896
238.30884	-42.18571729	0.28	295	0.27	2896
244.80232	-42.72908899	0.28	295	0.27	2896
250.75484	-43.10556761	0.28	295	0.27	2896
256.70764	-43.61005273	0.28	295	0.27	2896
262.6568	-43.51677211	0.28	295	0.27	2896
268.60848	-43.87477241	0.28	295	0.27	2896
274.56016	-44.35528349	0.28	295	0.27	2896
280.51184	-44.19020415	0.28	295	0.27	2896
286.46464	-44.29746397	0.28	295	0.27	2896
292.41716	-44.65912621	0.28	295	0.27	2896
298.36996	-44.63164707	0.28	295	0.27	2896
304.32528	-44.42303391	0.28	295	0.27	2896
310.27696	-44.36056596	0.28	295	0.27	2896
316.23004	-44.2023888	0.28	295	0.27	2896
322.18312	-44.06066355	0.28	295	0.27	2896
328.13984	-44.33049687	0.28	295	0.27	2896
334.09656	-44.83084571	0.28	295	0.27	2896
340.05076	-43.97824617	0.28	295	0.27	2896
346.00804	-44.33402377	0.28	295	0.27	2896
351.95328	-44.34863207	0.28	295	0.27	2896
357.89936	-44.14430914	0.28	295	0.27	2896
363.84404	-43.73600726	0.28	295	0.27	2896
369.80076	-43.38995091	0.28	295	0.27	2896
375.75496	-42.99826966	0.28	295	0.27	2896
381.70916	-42.95644351	0.28	295	0.27	2896
387.66672	-42.44072748	0.28	295	0.27	2896
393.62456	-42.23210146	0.28	295	0.27	2896
