thickness,StressThickness,R,T,P,Melting_T
46.22148,51.52334885,0.36,295,0.27,2183
52.49952,61.25845972,0.36,295,0.27,2183
58.77684,70.95741947,0.36,295,0.27,2183
65.0574,80.98611423,0.36,295,0.27,2183
71.33436,89.6624759,0.36,295,0.27,2183
77.60844,98.55103184,0.36,295,0.27,2183
83.88036,106.2775034,0.36,295,0.27,2183
90.1494,113.7111948,0.36,295,0.27,2183
96.41916,120.087584,0.36,295,0.27,2183
102.69036,127.4072085,0.36,295,0.27,2183
108.9594,133.7677614,0.36,295,0.27,2183
115.2288,139.3879434,0.36,295,0.27,2183
121.49388,144.8316641,0.36,295,0.27,2183
127.75932,150.019743,0.36,295,0.27,2183
134.0262,156.022714,0.36,295,0.27,2183
140.28804,161.1456089,0.36,295,0.27,2183
146.55708,165.9906782,0.36,295,0.27,2183
152.82468,171.0985545,0.36,295,0.27,2183
159.08688,175.9865466,0.36,295,0.27,2183
165.34656,181.4033089,0.36,295,0.27,2183
171.60696,186.8281639,0.36,295,0.27,2183
177.87312,191.8528081,0.36,295,0.27,2183
184.1328,197.6398144,0.36,295,0.27,2183
190.38996,202.5534812,0.36,295,0.27,2183
196.65072,208.25669,0.36,295,0.27,2183
204.30252,214.4609795,0.36,295,0.27,2183
211.25844,222.8573891,0.36,295,0.27,2183
217.51992,229.0814962,0.36,295,0.27,2183
223.78104,233.9976009,0.36,295,0.27,2183
230.03856,239.1888722,0.36,295,0.27,2183
236.29752,244.9495401,0.36,295,0.27,2183
242.55432,250.3290972,0.36,295,0.27,2183
248.8086,256.6889859,0.36,295,0.27,2183
255.0708,261.6674491,0.36,295,0.27,2183
261.33012,267.5132126,0.36,295,0.27,2183
267.58836,272.7346943,0.36,295,0.27,2183
273.84732,278.3531055,0.36,295,0.27,2183
280.10412,283.7730815,0.36,295,0.27,2183
286.3638,289.388304,0.36,295,0.27,2183
292.62204,295.3824512,0.36,295,0.27,2183
298.881,301.3003934,0.36,295,0.27,2183
305.13888,306.2575153,0.36,295,0.27,2183
311.39316,312.2419775,0.36,295,0.27,2183
317.64996,318.9967407,0.36,295,0.27,2183
323.90748,324.8136808,0.36,295,0.27,2183
330.16356,329.3900563,0.36,295,0.27,2183
336.42396,334.6287463,0.36,295,0.27,2183
342.6822,340.1316462,0.36,295,0.27,2183
348.94368,346.3484038,0.36,295,0.27,2183
355.20516,351.2150286,0.36,295,0.27,2183
361.4652,356.681221,0.36,295,0.27,2183
367.72884,362.4778295,0.36,295,0.27,2183
373.98708,367.6008841,0.36,295,0.27,2183
380.24424,373.3312866,0.36,295,0.27,2183
386.50176,378.8035796,0.36,295,0.27,2183
392.7546,384.0641849,0.36,295,0.27,2183
399.01104,389.4314936,0.36,295,0.27,2183
