thickness	StressThickness	R	T	P	Melting_T
75.33968	30.64024381	0.08	295	0.27	2561
81.70776	34.32779464	0.08	295	0.27	2561
88.07096	37.73878851	0.08	295	0.27	2561
94.4352	41.42600045	0.08	295	0.27	2561
100.79952	44.73118853	0.08	295	0.27	2561
107.15784	48.18028383	0.08	295	0.27	2561
113.5116	51.38621911	0.08	295	0.27	2561
119.85656	54.65989085	0.08	295	0.27	2561
126.19696	58.24810609	0.08	295	0.27	2561
132.54368	61.86233554	0.08	295	0.27	2561
138.89352	65.33869367	0.08	295	0.27	2561
145.24312	69.05585219	0.08	295	0.27	2561
151.60136	72.62168244	0.08	295	0.27	2561
157.95632	76.31155756	0.08	295	0.27	2561
164.31032	79.7564556	0.08	295	0.27	2561
170.66112	83.05803081	0.08	295	0.27	2561
177.00936	86.44256751	0.08	295	0.27	2561
183.36224	90.23234155	0.08	295	0.27	2561
189.71408	93.52678951	0.08	295	0.27	2561
196.0664	97.25849797	0.08	295	0.27	2561
202.41792	100.6403321	0.08	295	0.27	2561
208.76848	104.1123918	0.08	295	0.27	2561
215.12344	108.0738638	0.08	295	0.27	2561
221.48096	111.4373269	0.08	295	0.27	2561
227.85512	115.409111	0.08	295	0.27	2561
234.21808	118.2977847	0.08	295	0.27	2561
240.5736	121.2811188	0.08	295	0.27	2561
246.92496	124.6813136	0.08	295	0.27	2561
253.27512	127.9562208	0.08	295	0.27	2561
259.62736	131.3562261	0.08	295	0.27	2561
265.9764	134.4336432	0.08	295	0.27	2561
272.32304	137.7798013	0.08	295	0.27	2561
278.66944	141.0458554	0.08	295	0.27	2561
285.01504	144.6934311	0.08	295	0.27	2561
291.37192	147.8953386	0.08	295	0.27	2561
297.72904	151.1425195	0.08	295	0.27	2561
304.08144	154.3899243	0.08	295	0.27	2561
310.43008	157.733686	0.08	295	0.27	2561
316.78408	160.9292777	0.08	295	0.27	2561
323.13392	164.070035	0.08	295	0.27	2561
329.48072	167.1609081	0.08	295	0.27	2561
335.8264	170.8599918	0.08	295	0.27	2561
342.17504	174.079831	0.08	295	0.27	2561
348.52088	177.2834457	0.08	295	0.27	2561
354.86392	180.6396542	0.08	295	0.27	2561
361.20896	184.036671	0.08	295	0.27	2561
367.55224	187.3042932	0.08	295	0.27	2561
373.90072	190.8775557	0.08	295	0.27	2561
380.24504	194.0985034	0.08	295	0.27	2561
386.59208	197.6460682	0.08	295	0.27	2561
392.936	200.8646702	0.08	295	0.27	2561
