thickness	StressThickness	R	T	P	Melting_T
62.10288	84.89893117	0.24	295	0.27	2559
69.17208	93.53847654	0.24	295	0.27	2559
76.23408	101.7361444	0.24	295	0.27	2559
83.29536	109.9436023	0.24	295	0.27	2559
91.53408	118.5745187	0.24	295	0.27	2559
98.57904	127.2063104	0.24	295	0.27	2559
106.8144	135.8393246	0.24	295	0.27	2559
113.85216	143.1713089	0.24	295	0.27	2559
121.43496	150.98796	0.24	295	0.27	2559
128.47968	158.2435596	0.24	295	0.27	2559
135.51792	165.6193508	0.24	295	0.27	2559
142.57128	173.2014194	0.24	295	0.27	2559
154.88832	184.7097117	0.24	295	0.27	2559
164.24256	193.1425109	0.24	295	0.27	2559
171.35208	199.8856852	0.24	295	0.27	2559
178.42128	206.2198523	0.24	295	0.27	2559
185.42688	212.712934	0.24	295	0.27	2559
192.456	218.9244908	0.24	295	0.27	2559
199.47768	225.3222945	0.24	295	0.27	2559
206.49888	231.1956721	0.24	295	0.27	2559
213.55272	236.8681308	0.24	295	0.27	2559
220.5984	242.7147615	0.24	295	0.27	2559
227.65152	249.086312	0.24	295	0.27	2559
235.26456	254.783391	0.24	295	0.27	2559
242.358	260.5109136	0.24	295	0.27	2559
249.4272	266.0721994	0.24	295	0.27	2559
256.51296	271.5915787	0.24	295	0.27	2559
263.63064	276.9897301	0.24	295	0.27	2559
270.73176	281.9012291	0.24	295	0.27	2559
278.60136	286.6791973	0.24	295	0.27	2559
285.71832	291.2756672	0.24	295	0.27	2559
292.80432	296.6345452	0.24	295	0.27	2559
300.01776	301.7545021	0.24	295	0.27	2559
307.15104	306.3767146	0.24	295	0.27	2559
314.3004	311.5692842	0.24	295	0.27	2559
321.52944	316.3827883	0.24	295	0.27	2559
328.77504	321.1252683	0.24	295	0.27	2559
335.98056	326.0506187	0.24	295	0.27	2559
343.26576	330.7834776	0.24	295	0.27	2559
350.59944	336.2058805	0.24	295	0.27	2559
358.53672	340.8798997	0.24	295	0.27	2559
365.95848	345.8183295	0.24	295	0.27	2559
374.32608	351.4410546	0.24	295	0.27	2559
381.3876	356.5293499	0.24	295	0.27	2559
388.49712	360.696083	0.24	295	0.27	2559
395.58216	365.5429939	0.24	295	0.27	2559
