material,Tm_K,electro_negative,data_source,data_reference_doi,R,T,P,deposition_method,Crystal_Structure,Alloy_type,process_pressure,chamber_base_pressure_Pa,target_substrate_distance_cm,number_of_targets,target_power,Ar_flow_rate(sccm),substrate_type,substrate_prep,substrate_rotation ,Temperature_control,notation
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,0.012,300,2.67,magnetron sputttering,FCC,Single element,2.667,1.30E-05,16,,,15,Cu 50nm,,,,
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,0.12,300,2.67,magnetron sputttering,FCC,Single element,2.667,1.30E-05,16,,,15,Cu 50nm,,,,
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,1,300,2.67,magnetron sputttering,FCC,Single element,2.667,1.30E-05,16,,,15,Cu 50nm,,,,
Cu,1357.77,,Kaub,10.1063/1.5008269,0.05,298,0.27,magnetron sputttering,FCC,Single element,0.27,1.33E-05,,,18,10,,,,,
Cu,1357.77,,Kaub,10.1063/1.5008269,0.028,298,0.27,magnetron sputttering,FCC,Single element,0.27,1.33E-05,,,9,10,,,,,
Cu,1357.77,,Kaub,10.1063/1.5008269,0.69,298,0.27,magnetron sputttering,FCC,Single element,0.27,1.33E-05,,,261,10,,,,,
Cu,1357.77,,Kaub,10.1063/1.5008269,0.401,298,0.27,magnetron sputttering,FCC,Single element,0.27,1.33E-05,,,150,10,,,,,
Cu,1357.77,,Kaub,10.1016/j.scriptamat.2015.10.010,0.336,298,0.27,magnetron sputttering,FCC,Single element,0.27,1.33E-05,,2,,10,Si [100]native oxide,,,,
Cu-20Ni,1431.816,,Kaub,10.1016/j.scriptamat.2015.10.010,0.376,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,Si [100]native oxide,,,,
Cu-20V,1523,,Kaub,10.1063/1.5008269,0.034,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,,,,,
Cu-15Ni,1413,,Kaub,10.1016/j.scriptamat.2015.10.010,0.39,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,Si [100]native oxide,,,,
Cu-10Ni,1394.793,,Kaub,10.1016/j.scriptamat.2015.10.010,0.41,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,Si [100]native oxide,,,,
Cu-10V,1440.293,,Kaub,10.1063/1.5008269,0.38,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,,,,,
