material,Tm_K,electro_negative,data_source,data_reference_doi,R,T,P,deposition_method,Crystal_Structure,Alloy_type,process_pressure,chamber_base_pressure_Pa,target_substrate_distance_cm,number_of_targets,target_power,Ar_flow_rate(sccm),substrate_type,substrate_prep,substrate_rotation ,Temperature_control,notation
V-25Mo,2361.25,refractory,Su,Unpublished,0.36,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50W,2939,refractory,Su,10.1016/j.surfcoat.2023.130150,0.04,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50W,2939,refractory,Su,10.1016/j.surfcoat.2023.130150,0.08,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50W,2939,refractory,Su,10.1016/j.surfcoat.2023.130150,0.12,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50W,2939,refractory,Su,10.1016/j.surfcoat.2023.130150,0.16,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50W,2939,refractory,Su,10.1016/j.surfcoat.2023.130150,0.28,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50W,2939,refractory,Su,10.1016/j.surfcoat.2023.130150,0.36,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50Mo,2539.5,refractory,Su,Unpublished,0.08,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50Mo,2539.5,refractory,Su,Unpublished,0.12,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50Mo,2539.5,refractory,Su,Unpublished,0.2,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50Mo,2539.5,refractory,Su,Unpublished,0.36,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-50Mo,2539.5,refractory,Su,Unpublished,0.5,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-75Mo,2717.75,refractory,Su,Unpublished,0.08,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-75Mo,2717.75,refractory,Su,Unpublished,0.12,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-75Mo,2717.75,refractory,Su,Unpublished,0.2,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
