thickness,StressThickness,R,T,P,Melting_T
108.18264,-166.5479149,0.24,295,0.27,3695
124.99368,-198.397154,0.24,295,0.27,3695
141.33792,-228.5788331,0.24,295,0.27,3695
158.61168,-258.4187807,0.24,295,0.27,3695
174.94416,-286.3871699,0.24,295,0.27,3695
191.27448,-312.919463,0.24,295,0.27,3695
207.59832,-338.8810546,0.24,295,0.27,3695
223.9128,-364.3071514,0.24,295,0.27,3695
240.22416,-389.3941383,0.24,295,0.27,3695
256.52832,-415.3595542,0.24,295,0.27,3695
272.83416,-441.125059,0.24,295,0.27,3695
289.13568,-466.2110953,0.24,295,0.27,3695
305.44032,-490.5269997,0.24,295,0.27,3695
321.74664,-514.9525119,0.24,295,0.27,3695
338.04888,-539.4058819,0.24,295,0.27,3695
354.34872,-565.2332983,0.24,295,0.27,3695
370.64808,-592.7036708,0.24,295,0.27,3695
387.40632,-619.4521364,0.24,295,0.27,3695
404.62704,-642.0955296,0.24,295,0.27,3695
