material,R,stress (Gpa),grain size (nm),P,T
Ni,0.250,0.127519,21.0,0.27,293.15
Ni,0.076,1.057178,8.438658,0.27,293.15
Ni,0.076,0.029886,295.0,0.67,293.15
Ni,0.250,-0.008068,140.0,0.67,293.15
Ni,0.250,0.061766,302.0,1.33,293.15
Ni,0.076,0.032256,309.0,1.33,293.15
Ni,0.250,0.221758,73.0,0.67,373.15
Ni,0.250,0.257935,64.0,0.67,473.15
Ni,0.076,-0.088847,358.0,0.67,373.15
Ni,0.076,-0.054211,87.0,0.67,473.15
